danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,k_cluster
0.173,0.0522,-27.883,0.0541,0.98,0.019,0.204,0.062,171.661,380067,4
0.764,0.69,-5.961,0.0473,0.45,0.0,0.0815,0.939,119.481,151507,1
0.431,0.0486,-23.585,0.0334,0.994,0.906,0.107,0.345,156.648,160091,4
0.573,0.846,-4.866,0.0344,0.00372,7.87e-05,0.29,0.562,127.061,191053,1
0.684,0.733,-5.224,0.116,0.543,3.97e-05,0.453,0.623,130.06,210379,1
0.607,0.24,-14.135,0.884,0.879,0.0,0.122,0.302,167.165,446573,3
0.836,0.514,-7.108,0.119,0.103,0.0,0.0529,0.733,99.337,231640,1
0.491,0.324,-10.627,0.0442,0.697,0.0,0.135,0.123,115.137,191573,2
0.531,0.363,-18.763,0.522,0.648,0.0642,0.153,0.476,86.988,254276,3
0.709,0.295,-11.215,0.242,0.874,0.0357,0.103,0.393,84.969,139521,2
0.738,0.301,-18.973,0.954,0.981,2.66e-05,0.675,0.664,75.728,191600,3
0.754,0.169,-14.999,0.054,0.965,0.872,0.114,0.422,93.952,152784,2
0.66,0.0449,-28.688,0.654,0.314,0.0,0.0976,0.17,95.068,302400,3
0.567,0.896,-4.755,0.136,0.0462,1.08e-05,0.0362,0.459,150.039,189119,0
0.39,0.79,-3.783,0.0345,0.0264,0.0,0.51,0.183,78.016,361661,0
0.741,0.865,-11.851,0.04,0.00336,0.911,0.114,0.303,124.013,435836,0
0.69,0.0711,-16.601,0.913,0.177,8.13e-06,0.0544,0.228,126.511,295373,3
0.495,0.83,-4.756,0.0401,0.000132,6.02e-06,0.404,0.364,151.852,219144,0
0.888,0.428,-9.312,0.159,0.316,2.44e-06,0.0705,0.802,132.082,131023,1
0.646,0.814,-5.263,0.0437,0.000415,0.0305,0.0882,0.117,121.043,214959,0
0.641,0.303,-12.443,0.0259,0.959,0.00252,0.0582,0.264,97.042,204120,2
0.691,0.595,-6.865,0.0377,0.0888,5.56e-05,0.0886,0.415,121.004,160165,1
0.598,0.295,-8.553,0.0276,0.735,0.0,0.107,0.314,87.025,225680,2
0.559,0.637,-7.495,0.0321,0.304,0.000195,0.0783,0.782,152.885,238067,1
0.789,0.295,-13.132,0.682,0.527,1.52e-06,0.0897,0.395,79.98,223333,3
0.843,0.736,-7.972,0.0762,0.0378,0.54,0.0783,0.66,125.012,236160,1
0.39,0.207,-17.635,0.0541,0.938,0.000255,0.3,0.505,91.336,51613,2
0.636,0.571,-9.226,0.0337,0.702,0.0157,0.104,0.912,128.333,190373,1
0.814,0.863,-5.518,0.085,0.125,0.72,0.0838,0.47,144.999,185539,1
0.518,0.479,-15.971,0.0519,0.705,0.878,0.0968,0.22,80.005,136500,4
0.615,0.407,-8.982,0.0461,0.824,0.0,0.119,0.55,108.56,144039,2
0.549,0.585,-9.144,0.115,0.217,0.0,0.241,0.708,79.431,246080,1
0.376,0.941,-3.839,0.0661,3.04e-05,0.000338,0.259,0.236,154.964,289558,0
0.668,0.231,-20.085,0.942,0.627,0.0,0.265,0.396,84.72,561483,3
0.639,0.487,-11.501,0.953,0.623,0.0,0.109,0.476,78.002,516494,3
0.468,0.982,-3.662,0.0714,0.00216,0.0,0.326,0.134,102.003,297083,0
0.65,0.464,-7.629,0.0374,0.14,0.883,0.0964,0.409,89.992,291680,1
0.229,0.994,-3.431,0.22,7.03e-05,0.00548,0.318,0.115,156.623,241467,0
0.658,0.269,-17.524,0.442,0.722,0.852,0.172,0.199,135.216,121714,2
0.592,0.568,-9.227,0.553,0.424,0.000954,0.201,0.143,151.339,245028,0
0.643,0.539,-11.675,0.0488,0.000428,0.915,0.176,0.326,123.012,534343,0
0.706,0.835,-4.616,0.168,0.0381,0.0,0.123,0.656,98.029,243324,1
0.409,0.877,-5.865,0.0602,0.00329,0.0,0.222,0.403,177.928,208021,0
